Step,bond_distance,Br2_-2_1_RKS_wB97M-V_def2-TZVPD,Br2_-2_1_UKS_wB97M-V_def2-TZVPD,Br2_0_1_RKS_wB97M-V_def2-TZVPD,Br2_0_1_UKS_wB97M-V_def2-TZVPD,Cl2_-2_1_RKS_wB97M-V_def2-TZVPD,Cl2_-2_1_UKS_wB97M-V_def2-TZVPD,Cl2_0_1_RKS_wB97M-V_def2-TZVPD,Cl2_0_1_UKS_wB97M-V_def2-TZVPD,F2_-2_1_RKS_wB97M-V_def2-TZVPD,F2_-2_1_UKS_wB97M-V_def2-TZVPD,F2_0_1_RKS_wB97M-V_def2-TZVPD,F2_0_1_UKS_wB97M-V_def2-TZVPD,H2_0_1_RKS_wB97M-V_def2-TZVPD,H2_0_1_UKS_wB97M-V_def2-TZVPD,H_Br_-2_1_RKS_wB97M-V_def2-TZVPD,H_Br_-2_1_UKS_wB97M-V_def2-TZVPD,H_Br_0_1_RKS_wB97M-V_def2-TZVPD,H_Br_0_1_UKS_wB97M-V_def2-TZVPD,H_Br_2_1_RKS_wB97M-V_def2-TZVPD,H_Br_2_1_UKS_wB97M-V_def2-TZVPD,H_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,H_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,H_Cl_0_1_RKS_wB97M-V_def2-TZVPD,H_Cl_0_1_UKS_wB97M-V_def2-TZVPD,H_Cl_2_1_RKS_wB97M-V_def2-TZVPD,H_Cl_2_1_UKS_wB97M-V_def2-TZVPD,H_F_-2_1_RKS_wB97M-V_def2-TZVPD,H_F_-2_1_UKS_wB97M-V_def2-TZVPD,H_F_0_1_RKS_wB97M-V_def2-TZVPD,H_F_0_1_UKS_wB97M-V_def2-TZVPD,H_F_2_1_RKS_wB97M-V_def2-TZVPD,H_F_2_1_UKS_wB97M-V_def2-TZVPD,H_I_-2_1_RKS_wB97M-V_def2-TZVPD,H_I_-2_1_UKS_wB97M-V_def2-TZVPD,H_I_0_1_RKS_wB97M-V_def2-TZVPD,H_I_0_1_UKS_wB97M-V_def2-TZVPD,H_I_2_1_RKS_wB97M-V_def2-TZVPD,H_I_2_1_UKS_wB97M-V_def2-TZVPD,I2_-2_1_RKS_wB97M-V_def2-TZVPD,I2_-2_1_UKS_wB97M-V_def2-TZVPD,I2_0_1_RKS_wB97M-V_def2-TZVPD,I2_0_1_UKS_wB97M-V_def2-TZVPD,K2_0_1_RKS_wB97M-V_def2-TZVPD,K2_0_1_UKS_wB97M-V_def2-TZVPD,K2_2_1_RKS_wB97M-V_def2-TZVPD,K2_2_1_UKS_wB97M-V_def2-TZVPD,K_Br_-2_1_RKS_wB97M-V_def2-TZVPD,K_Br_-2_1_UKS_wB97M-V_def2-TZVPD,K_Br_0_1_RKS_wB97M-V_def2-TZVPD,K_Br_0_1_UKS_wB97M-V_def2-TZVPD,K_Br_2_1_RKS_wB97M-V_def2-TZVPD,K_Br_2_1_UKS_wB97M-V_def2-TZVPD,K_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,K_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,K_Cl_0_1_RKS_wB97M-V_def2-TZVPD,K_Cl_0_1_UKS_wB97M-V_def2-TZVPD,K_Cl_2_1_RKS_wB97M-V_def2-TZVPD,K_Cl_2_1_UKS_wB97M-V_def2-TZVPD,K_F_-2_1_RKS_wB97M-V_def2-TZVPD,K_F_-2_1_UKS_wB97M-V_def2-TZVPD,K_F_0_1_RKS_wB97M-V_def2-TZVPD,K_F_0_1_UKS_wB97M-V_def2-TZVPD,K_F_2_1_RKS_wB97M-V_def2-TZVPD,K_F_2_1_UKS_wB97M-V_def2-TZVPD,K_I_-2_1_RKS_wB97M-V_def2-TZVPD,K_I_-2_1_UKS_wB97M-V_def2-TZVPD,K_I_0_1_RKS_wB97M-V_def2-TZVPD,K_I_0_1_UKS_wB97M-V_def2-TZVPD,K_I_2_1_RKS_wB97M-V_def2-TZVPD,K_I_2_1_UKS_wB97M-V_def2-TZVPD,Li2_0_1_RKS_wB97M-V_def2-TZVPD,Li2_0_1_UKS_wB97M-V_def2-TZVPD,Li2_2_1_RKS_wB97M-V_def2-TZVPD,Li2_2_1_UKS_wB97M-V_def2-TZVPD,Li_Br_-2_1_RKS_wB97M-V_def2-TZVPD,Li_Br_-2_1_UKS_wB97M-V_def2-TZVPD,Li_Br_0_1_RKS_wB97M-V_def2-TZVPD,Li_Br_0_1_UKS_wB97M-V_def2-TZVPD,Li_Br_2_1_RKS_wB97M-V_def2-TZVPD,Li_Br_2_1_UKS_wB97M-V_def2-TZVPD,Li_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,Li_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,Li_Cl_0_1_RKS_wB97M-V_def2-TZVPD,Li_Cl_0_1_UKS_wB97M-V_def2-TZVPD,Li_Cl_2_1_RKS_wB97M-V_def2-TZVPD,Li_Cl_2_1_UKS_wB97M-V_def2-TZVPD,Li_F_-2_1_RKS_wB97M-V_def2-TZVPD,Li_F_-2_1_UKS_wB97M-V_def2-TZVPD,Li_F_0_1_RKS_wB97M-V_def2-TZVPD,Li_F_0_1_UKS_wB97M-V_def2-TZVPD,Li_F_2_1_RKS_wB97M-V_def2-TZVPD,Li_F_2_1_UKS_wB97M-V_def2-TZVPD,Li_I_-2_1_RKS_wB97M-V_def2-TZVPD,Li_I_-2_1_UKS_wB97M-V_def2-TZVPD,Li_I_0_1_RKS_wB97M-V_def2-TZVPD,Li_I_0_1_UKS_wB97M-V_def2-TZVPD,Li_I_2_1_RKS_wB97M-V_def2-TZVPD,Li_I_2_1_UKS_wB97M-V_def2-TZVPD,Na2_0_1_RKS_wB97M-V_def2-TZVPD,Na2_0_1_UKS_wB97M-V_def2-TZVPD,Na2_2_1_RKS_wB97M-V_def2-TZVPD,Na2_2_1_UKS_wB97M-V_def2-TZVPD,Na_Br_-2_1_RKS_wB97M-V_def2-TZVPD,Na_Br_-2_1_UKS_wB97M-V_def2-TZVPD,Na_Br_0_1_RKS_wB97M-V_def2-TZVPD,Na_Br_0_1_UKS_wB97M-V_def2-TZVPD,Na_Br_2_1_RKS_wB97M-V_def2-TZVPD,Na_Br_2_1_UKS_wB97M-V_def2-TZVPD,Na_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,Na_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,Na_Cl_0_1_RKS_wB97M-V_def2-TZVPD,Na_Cl_0_1_UKS_wB97M-V_def2-TZVPD,Na_Cl_2_1_RKS_wB97M-V_def2-TZVPD,Na_Cl_2_1_UKS_wB97M-V_def2-TZVPD,Na_F_-2_1_RKS_wB97M-V_def2-TZVPD,Na_F_-2_1_UKS_wB97M-V_def2-TZVPD,Na_F_0_1_RKS_wB97M-V_def2-TZVPD,Na_F_0_1_UKS_wB97M-V_def2-TZVPD,Na_F_2_1_RKS_wB97M-V_def2-TZVPD,Na_F_2_1_UKS_wB97M-V_def2-TZVPD,Na_I_-2_1_RKS_wB97M-V_def2-TZVPD,Na_I_-2_1_UKS_wB97M-V_def2-TZVPD,Na_I_0_1_RKS_wB97M-V_def2-TZVPD,Na_I_0_1_UKS_wB97M-V_def2-TZVPD,Na_I_2_1_RKS_wB97M-V_def2-TZVPD,Na_I_2_1_UKS_wB97M-V_def2-TZVPD
22,5.87162162,-5148.10310393,-5148.10310393,-5147.82073075,-5147.93699734,-920.43268524,-920.43268524,-920.12454578,-920.2522901,-199.65068409,-199.65068409,-199.28178377,-199.49290852,-0.83180063,-0.98823819,-2574.50579729,-2574.50579729,-2574.3315277,-2574.4626666,-2573.38172067,-2573.38172067,-460.66937806,-460.66937806,-460.48782276,-460.62032535,-459.49123484,-459.49123484,-100.27720706,-100.27720706,-100.08621545,-100.24055165,-98.89016321,-98.89016321,-298.19647667,-298.19647667,-298.03303659,-298.1593969,-297.13650263,-297.17816162,-595.4791191,-595.4791191,-595.23202488,-595.33038828,-1199.75755226,-1199.75755226,-1199.359153830117,-1199.359153830164,-3173.91700763,-3173.91700763,-3173.911907879365,-3173.91190788,-3173.10267308,-3173.10267308,-1060.08231521,-1060.0823152,-1060.076450858275,-1060.076450858591,-1059.21304781,-1059.21304781,-699.692174,-699.69217417,-699.68588668,-699.68588668,-698.61474398,-698.61474398,-897.60457085,-897.60457087,-897.60054879,-897.60054879,-896.85606833,-896.85606833,-14.92372461,-14.92372461,-14.46159128,-14.46159128,-2581.49482557,-2581.49482557,-2581.46470839,-2581.46470839,-2580.65759196,-2580.65759196,-467.65967386,-467.65967386,-467.62894635,-467.62894635,-466.76709206,-466.76709206,-107.26892869,-107.26892914,-107.23917846,-107.24265732,-106.16603624,-106.16603624,-305.18331625,-305.183316191638,-305.15407906,-305.15407906,-304.41236004,-304.41236004,-324.46468291113,-324.51463870339,-324.04738979,-324.047389792061,-2736.29364273,-2736.29364273,-2736.25713128,-2736.25713128,-2735.45050806,-2735.45050806,-622.45842402,-622.45842402,-622.42143614,-622.42143614,-621.56000945,-621.56000945,-262.06734146,-262.06734145,-262.03142325,-262.03249493,-260.95887526,-260.95887526,-459.98196891,-459.98196891,-459.94632653,-459.94632653,-459.20525995,-459.20525995
23,5.77027027,-5148.1018395,-5148.1018395,-5147.8219851,-5147.93708031,-920.43137969,-920.43137969,-920.125644,-920.25234892,-199.64914818,-199.64914818,-199.28261872,-199.49289886,-0.83271287,-0.98824574,-2574.50467239,-2574.50467239,-2574.33257162,-2574.46269702,-2573.38023916,-2573.38023915,-460.66814154,-460.66814154,-460.48882045,-460.6203485,-459.48972691,-459.48972691,-100.27573917,-100.27573917,-100.08714786,-100.24054832,-98.88860436,-98.88860436,-298.19545,-298.19545,-298.03415312,-298.15940509,-297.13506684,-297.17672698,-595.4778749,-595.4778749,-595.23354298,-595.330405,-1199.7588924,-1199.7588924,-1199.357601005632,-1199.35760100582,-3173.91647252,-3173.91647252,-3173.913686945486,-3173.91368694,-3173.10100513,-3173.10100513,-1060.08178802,-1060.08178802,-1060.078184974747,-1060.078184975125,-1059.21140439,-1059.21140439,-699.69166387,-699.69166443,-699.68756801,-699.68756801,-698.61321862,-698.61321862,-897.60404381,-897.60404393,-897.60241443,-897.60241443,-896.85438038,-896.85438038,-14.92502196,-14.92502196,-14.46000943,-14.46000943,-2581.49391628,-2581.49391628,-2581.46646348,-2581.46646348,-2580.65611371,-2580.65611371,-467.65875526,-467.65875526,-467.63064805,-467.63064805,-466.76558474,-466.76558474,-107.26795665,-107.26795623,-107.24073417,-107.24380565,-106.16445581,-106.16445581,-305.18244042,-305.182440369505,-305.15592523,-305.15592523,-304.41092727,-304.41092727,-324.464073778222,-324.514756695834,-324.04581172,-324.045811716727,-2736.29309992,-2736.29309991,-2736.25890049,-2736.25890049,-2735.44902728,-2735.44902728,-622.45786312,-622.45786312,-622.4231618,-622.4231618,-621.55851046,-621.55851046,-262.06671844,-262.06671844,-262.0330341,-262.0339062,-260.95732287,-260.95732287,-459.98144327,-459.98144327,-459.94818625,-459.94818625,-459.20382382,-459.20382382
24,5.66891892,-5148.10050269,-5148.10050268,-5147.82330591,-5147.93715017,-920.43001158,-920.43001158,-920.12680033,-920.25241041,-199.64755926,-199.64755926,-199.28348693,-199.49288791,-0.83366981,-0.98825361,-2574.50348985,-2574.50348984,-2574.33366866,-2574.4627229,-2573.37870933,-2573.37870933,-460.66685292,-460.66685292,-460.4898669,-460.62036788,-459.48816844,-459.48816844,-100.27422925,-100.27422925,-100.0881204,-100.24054501,-98.88699095,-98.88699095,-298.19439722,-298.19439722,-298.03533084,-298.15941338,-297.1335869,-297.17524832,-595.4766005,-595.4766005,-595.23517858,-595.33042074,-1199.76026208,-1199.76026208,-1199.355993350518,-1199.355993350714,-3173.91595894,-3173.91595894,-3173.915543103931,-3173.9155431,-3173.09927899,-3173.09927899,-1060.08127365,-1060.08127365,-1060.079989527444,-1060.079989527339,-1059.2096989,-1059.2096989,-699.69115472,-699.69115494,-699.6893011,-699.6893011,-698.61162763,-698.61162763,-897.60353479,-897.60353476,-897.60435798,-897.60435798,-896.85263153,-896.85263153,-14.92636299,-14.92636299,-14.45837099,-14.45837099,-2581.49299925,-2581.49299925,-2581.46829934,-2581.46829934,-2580.6545892,-2580.6545892,-467.65783186,-467.65783186,-467.63242865,-467.63242865,-466.76403547,-466.76403547,-107.26697707,-107.2669774,-107.24236042,-107.24502746,-106.16281846,-106.16281846,-305.18155485,-305.18155479199,-305.15785429,-305.15785429,-304.40944611,-304.40944611,-324.463393758008,-324.514902990928,-324.04417845,-324.044178453779,-2736.29257897,-2736.29257897,-2736.26074846,-2736.26074846,-2735.4474982,-2735.4474982,-622.45732105,-622.45732105,-622.42495618,-622.42495618,-621.55695436,-621.55695436,-262.06612741,-262.0661274,-262.03472281,-262.03540931,-260.95573418,-260.95573418,-459.98094236,-459.98094235,-459.950133,-459.950133,-459.20234795,-459.20234795
25,5.56756757,-5148.09908091,-5148.09908091,-5147.82468651,-5147.93718724,-920.42856375,-920.42856375,-920.12800816,-920.25245889,-199.6459206,-199.6459206,-199.28439084,-199.49287557,-0.83467629,-0.98826129,-2574.50224608,-2574.50224608,-2574.33482085,-2574.46274238,-2573.37712895,-2573.37712895,-460.66550339,-460.66550339,-460.4909651,-460.6203822,-459.48655697,-459.48655697,-100.27267611,-100.27267611,-100.08913607,-100.24054181,-98.88532012,-98.88532013,-298.19331723,-298.19331723,-298.03658553,-298.15942169,-297.13206112,-297.17372399,-595.47529933,-595.47529933,-595.23694263,-595.33043678,-1199.76166053,-1199.76166053,-1199.35432964789,-1199.354329648058,-3173.9154655,-3173.91546549,-3173.917479271675,-3173.91747927,-3173.0974911,-3173.0974911,-1060.08078153,-1060.08078153,-1060.081871810871,-1060.081871811054,-1059.20793057,-1059.20793057,-699.69064757,-699.69064844,-699.69108539,-699.69108539,-698.60995738,-698.60995738,-897.60303918,-897.60303915,-897.60637527,-897.60637527,-896.85080898,-896.85080898,-14.92774933,-14.92774933,-14.45667293,-14.45667293,-2581.49207345,-2581.49207345,-2581.47021689,-2581.47021689,-2580.65301158,-2580.65301158,-467.65689965,-467.65689965,-467.63428959,-467.63428959,-466.76243398,-466.76243398,-107.26600927,-107.26600907,-107.24407484,-107.24634416,-106.16113982,-106.16113982,-305.18066099,-305.180661033733,-305.15987372,-305.15987372,-304.40791644,-304.40791644,-324.462638210061,-324.515081259866,-324.0424862,-324.042486197865,-2736.29208256,-2736.29208256,-2736.26267886,-2736.26267886,-2735.44591903,-2735.44591903,-622.45679964,-622.45679964,-622.42682448,-622.42682448,-621.55534128,-621.55534128,-262.0655475,-262.0655475,-262.03647478,-262.03699074,-260.95408423,-260.95408423,-459.98046812,-459.98046798,-459.95216883,-459.95216883,-459.2008294,-459.2008294
26,5.46621622,-5148.09756582,-5148.09756581,-5147.82612435,-5147.93717797,-920.42702521,-920.42702521,-920.12926097,-920.25247637,-199.64422935,-199.64422935,-199.28533327,-199.49286172,-0.83573448,-0.9882684,-2574.50094262,-2574.50094261,-2574.3360313,-2574.4627524,-2573.37549557,-2573.37549557,-460.66409294,-460.66409294,-460.49211725,-460.62038944,-459.48488981,-459.48488981,-100.27107811,-100.27107811,-100.090198,-100.24053889,-98.88358882,-98.88358999,-298.19220567,-298.19220567,-298.03792139,-298.15942937,-297.13048788,-297.17215243,-595.47396821,-595.4739683,-595.2388557,-595.33046025,-1199.76308526,-1199.76308526,-1199.352607945037,-1199.352607945174,-3173.91499094,-3173.91499094,-3173.919493482265,-3173.91949348,-3173.09563312,-3173.09563312,-1060.0803093,-1060.0803093,-1060.08383375899,-1060.083833759546,-1059.20609727,-1059.20609727,-699.69015882,-699.69015896,-699.69293809,-699.69293809,-698.60822068,-698.60822068,-897.60255134,-897.60255131,-897.60846292,-897.60846292,-896.84890391,-896.84890391,-14.92918343,-14.92918343,-14.45491203,-14.45491203,-2581.49114078,-2581.49114078,-2581.4722215,-2581.4722215,-2580.65137771,-2580.65137771,-467.65595702,-467.65595702,-467.63622983,-467.63622983,-466.7607702,-466.7607702,-107.26504985,-107.26505006,-107.24588102,-107.24776865,-106.15942299,-106.15942295,-305.17976537,-305.179765428919,-305.16199184,-305.16199184,-304.40634054,-304.40634054,-324.461802712854,-324.515293364512,-324.04073098,-324.040730977948,-2736.29161696,-2736.29161696,-2736.26469668,-2736.26469667,-2735.44429041,-2735.44429041,-622.45630397,-622.45630397,-622.42877385,-622.42877385,-621.55367302,-621.55367302,-262.06497144,-262.06497144,-262.03828347,-262.03864349,-260.95235205,-260.95235205,-459.98002091,-459.98002088,-459.95429687,-459.95429687,-459.19926563,-459.19926563
27,5.36486486,-5148.09597132,-5148.09597132,-5147.82762927,-5147.93712524,-920.42539581,-920.42539581,-920.13055853,-920.25245256,-199.64248027,-199.64248027,-199.28631776,-199.49284628,-0.83684931,-0.98827455,-2574.49958365,-2574.49958365,-2574.33730661,-2574.46275115,-2573.3738066,-2573.3738066,-460.66262485,-460.66262485,-460.49332701,-460.62038818,-459.48316404,-459.48316404,-100.26943116,-100.26943116,-100.09131042,-100.24053649,-98.88179375,-98.96555487,-298.19106105,-298.19106105,-298.03934056,-298.15943697,-297.12886574,-297.17053227,-595.47260859,-595.47260871,-595.24093603,-595.33049642,-1199.76452955,-1199.76452955,-1199.350823680849,-1199.350823680994,-3173.91452778,-3173.91452777,-3173.921579869122,-3173.92157987,-3173.09369097,-3173.09369097,-1060.079854,-1060.079854,-1060.085872730311,-1060.085872730794,-1059.20419052,-1059.20419052,-699.68970641,-699.68970718,-699.69488141,-699.69488141,-698.60644345,-698.60644345,-897.60208915,-897.60208912,-897.6106387,-897.6106387,-896.84692993,-896.84692993,-14.93066784,-14.93066784,-14.45308477,-14.45308477,-2581.49020278,-2581.49020278,-2581.47431892,-2581.47431892,-2580.64968545,-2580.64968545,-467.65500674,-467.65500674,-467.63825416,-467.63825416,-466.75904089,-466.75904089,-107.26408726,-107.26408702,-107.24776833,-107.24929766,-106.15765206,-106.24141817,-305.17886941,-305.178869480101,-305.16421268,-305.16421268,-304.40471578,-304.44637952,-324.460882990694,-324.515540436456,-324.03890892,-324.038908921605,-2736.29118569,-2736.29118569,-2736.26680778,-2736.26680778,-2735.4426117,-2735.4426117,-622.45584452,-622.45584452,-622.43081402,-622.43081402,-621.55195278,-621.55195278,-262.06441146,-262.06441145,-262.04015711,-262.04038,-260.95053465,-260.95053465,-459.97960025,-459.97960029,-459.95651588,-459.95651588,-459.19764902,-459.19764902
28,5.26351351,-5148.09432904,-5148.09432904,-5147.82922663,-5147.93704151,-920.42368581,-920.42368581,-920.1319111,-920.25239139,-199.64067061,-199.64067061,-199.28734763,-199.49282905,-0.83802611,-0.98827935,-2574.4981739,-2574.4981739,-2574.33865291,-2574.46273853,-2573.37205931,-2573.37205931,-460.66110357,-460.66110357,-460.49460059,-460.62037864,-459.4813765,-459.4813765,-100.26773393,-100.26773393,-100.09247784,-100.24053486,-98.87993135,-98.96369214,-298.18988433,-298.18988433,-298.04086212,-298.15944424,-297.12719354,-297.16886248,-595.47121595,-595.4712161,-595.24319255,-595.33053681,-1199.76598677,-1199.76598677,-1199.348971807065,-1199.348971807184,-3173.91408764,-3173.91408763,-3173.923752443797,-3173.92375244,-3173.09167048,-3173.09167048,-1060.07942005,-1060.07942005,-1060.087991426141,-1060.087991426294,-1059.20220368,-1059.20220368,-699.6892957,-699.68929602,-699.69691653,-699.69691653,-698.60462311,-698.60462311,-897.60167016,-897.6016703,-897.61291953,-897.61291953,-896.84489282,-896.84489282,-14.93220383,-14.93220383,-14.45118725,-14.45118725,-2581.48926435,-2581.48926435,-2581.47651492,-2581.47651491,-2580.64793382,-2580.64793382,-467.65404892,-467.65404892,-467.64036824,-467.64036824,-466.75724605,-466.75724606,-107.26310706,-107.26310729,-107.24972715,-107.2509188,-106.1558049,-106.23957049,-305.17797806,-305.177978137933,-305.16654188,-305.16654188,-304.40304299,-304.44470932,-324.459874557163,-324.51582690596,-324.03701679,-324.037016788875,-2736.29078848,-2736.29078847,-2736.26901179,-2736.26901179,-2735.44087383,-2735.44087383,-622.45542518,-622.45542518,-622.43294983,-622.43294983,-621.5501774,-621.5501774,-262.06389128,-262.06389128,-262.04211789,-262.04222688,-260.9486528,-260.9486528,-459.97920688,-459.97920674,-459.95882696,-459.95882696,-459.195973,-459.195973
29,5.16216216,-5148.09266393,-5148.09266393,-5147.83095744,-5147.93695669,-920.42192126,-920.42192126,-920.13334153,-920.25230747,-199.63880011,-199.63880011,-199.28842662,-199.49280982,-0.83926871,-0.98828256,-2574.4967208,-2574.4967208,-2574.34008054,-2574.46271765,-2573.37025094,-2573.37025094,-460.65953379,-460.65953379,-460.49594675,-460.62036259,-459.47952381,-459.47952381,-100.26598345,-100.26598345,-100.09370474,-100.2405343,-98.87799778,-98.96175992,-298.18867682,-298.18867682,-298.04249124,-298.15945014,-297.12547055,-297.16714326,-595.46979262,-595.46979278,-595.24564087,-595.33058446,-1199.76745154,-1199.76745154,-1199.347049636559,-1199.347049636805,-3173.91368909,-3173.91368908,-3173.926029044376,-3173.92602904,-3173.08957848,-3173.08957848,-1060.07901669,-1060.07901669,-1060.09020410986,-1060.090204109991,-1059.20013817,-1059.20013817,-699.68890301,-699.68890355,-699.69902447,-699.69902447,-698.60271821,-698.60271821,-897.60128459,-897.60128456,-897.61529394,-897.61529409,-896.84277116,-896.84277116,-14.93379115,-14.93379115,-14.44921526,-14.44921526,-2581.48833309,-2581.48833309,-2581.47881911,-2581.4788191,-2580.64612656,-2580.64612656,-467.65309289,-467.65309289,-467.6425822,-467.6425822,-466.75538915,-466.75538917,-107.26210666,-107.26210646,-107.25175604,-107.2526291,-106.15386143,-106.23762782,-305.17709235,-305.177092440878,-305.16898295,-305.16898295,-304.40131843,-304.44298764,-324.458773809845,-324.516160662023,-324.03505191,-324.03505191328,-2736.29042651,-2736.29042651,-2736.27131,-2736.27130999,-2735.43906724,-2735.43906728,-622.45504161,-622.45504161,-622.43517966,-622.43517966,-621.54833443,-621.54833443,-262.06342573,-262.06342573,-262.04418458,-262.04421019,-260.94672793,-260.94672793,-459.97885421,-459.97885403,-459.96124557,-459.96124557,-459.19424565,-459.19424565
30,5.06081081,-5148.09100353,-5148.09100353,-5147.83286272,-5147.93690479,-920.42014464,-920.42014464,-920.13488369,-920.25222519,-199.63686531,-199.63686531,-199.28955923,-199.49278854,-0.84057916,-0.9882841,-2574.4952358,-2574.4952358,-2574.34160762,-2574.46269477,-2573.3683788,-2573.3683788,-460.65792008,-460.65792009,-460.49737676,-460.62034446,-459.47760248,-459.4776025,-100.26417602,-100.26417602,-100.09499502,-100.24053496,-98.87598859,-98.95975201,-298.18743503,-298.18743503,-298.04423559,-298.15945393,-297.12369769,-297.16537358,-595.46833621,-595.46833628,-595.24830746,-595.33064933,-1199.76891644,-1199.76891644,-1199.345054743221,-1199.345054743437,-3173.91333108,-3173.91333108,-3173.928406929812,-3173.92840693,-3173.08740414,-3173.08740414,-1060.07865206,-1060.07865206,-1060.092518244045,-1060.092518244176,-1059.1979908,-1059.1979908,-699.68852779,-699.68852825,-699.70120574,-699.70120574,-698.60071511,-698.60071511,-897.60091827,-897.60091821,-897.61774978,-897.61774995,-896.84054704,-896.84054704,-14.93542979,-14.93542979,-14.44716429,-14.44716429,-2581.48741562,-2581.48741562,-2581.48123696,-2581.48123696,-2580.64426166,-2580.64426166,-467.65214725,-467.65214725,-467.64490724,-467.64490724,-466.75347235,-466.7534725,-107.26110169,-107.26110177,-107.25386805,-107.25445227,-106.15182123,-106.23559025,-305.17620769,-305.176207681204,-305.17153547,-305.17153547,-304.39953463,-304.44120657,-324.457577151126,-324.516548357008,-324.03301023,-324.033010227893,-2736.29011256,-2736.29011255,-2736.2737163,-2736.2737163,-2735.43719822,-2735.43719851,-622.45469762,-622.45469762,-622.43750532,-622.43750532,-621.54641523,-621.54641524,-262.06301316,-262.06301316,-262.04635479,-262.04635803,-260.94474853,-260.94474853,-459.9785537,-459.97855363,-459.96378204,-459.96378204,-459.19247169,-459.1924717
31,4.95945946,-5148.08934939,-5148.08934939,-5147.83497102,-5147.93689694,-920.41836635,-920.41836635,-920.13657622,-920.2521689,-199.63486516,-199.63486516,-199.2907507,-199.49276562,-0.84196918,-0.98828416,-2574.49372062,-2574.49372062,-2574.34324722,-2574.46267654,-2573.36644026,-2573.36644026,-460.65626894,-460.65626894,-460.4989034,-460.62032984,-459.47560902,-459.4756091,-100.26230678,-100.26230678,-100.09635286,-100.24053662,-98.87389833,-98.95766182,-298.18615673,-298.18615673,-298.04611419,-298.15945589,-297.12187385,-297.16355499,-595.46684337,-595.46684344,-595.25121249,-595.3307395,-1199.770373,-1199.77037299,-1199.342983293753,-1199.342983294012,-3173.91300499,-3173.91300498,-3173.930878145409,-3173.93087814,-3173.0851313,-3173.0851313,-1060.07832796,-1060.07832796,-1060.094933665196,-1060.094933665378,-1059.1957535,-1059.1957535,-699.68819889,-699.68819949,-699.70348419,-699.70348419,-698.59863928,-698.59863928,-897.60057732,-897.60057747,-897.62029313,-897.62029307,-896.83821915,-896.83821915,-14.93712174,-14.93712174,-14.4450295,-14.4450295,-2581.48650652,-2581.48650652,-2581.48376935,-2581.48376935,-2580.64232891,-2580.64232891,-467.65121815,-467.65121815,-467.64734788,-467.64734788,-466.75148975,-466.7995417,-107.26011123,-107.26011119,-107.25608722,-107.25642115,-106.14970695,-106.2334773,-305.1753234,-305.175323398473,-305.17420196,-305.17420196,-304.39768585,-304.43936076,-324.456279362888,-324.516994577966,-324.03088579,-324.030885787478,-2736.28985585,-2736.28985585,-2736.27623908,-2736.27623908,-2735.43526934,-2735.48276501,-622.45440374,-622.45440374,-622.43993951,-622.43993951,-621.54442266,-621.54442273,-262.06263743,-262.06263743,-262.04861269,-262.04861591,-260.94267354,-260.94267354,-459.97830639,-459.97830629,-459.96643638,-459.96643638,-459.19064583,-459.19064584
32,4.85810811,-5148.08768135,-5148.08768134,-5147.83729751,-5147.93692501,-920.41659133,-920.41659133,-920.13844838,-920.25215556,-199.63279714,-199.63279714,-199.29200729,-199.49274191,-0.84344741,-0.98828308,-2574.49217418,-2574.49217417,-2574.34501231,-2574.46266949,-2573.36443272,-2573.36443275,-460.65458123,-460.65458123,-460.50053983,-460.62032246,-459.47353995,-459.47354083,-100.2603716,-100.2603716,-100.09778351,-100.24053878,-98.87172082,-98.9554917,-298.18484105,-298.18484105,-298.04813888,-298.15945641,-297.12000122,-297.16168897,-595.4653087,-595.46530873,-595.25436947,-595.33084975,-1199.77180963,-1199.77180963,-1199.340829059198,-1199.3408290594,-3173.91271118,-3173.91271117,-3173.933444716317,-3173.93344472,-3173.08275327,-3173.08275327,-1060.07804306,-1060.07804306,-1060.097449944991,-1060.097449945017,-1059.19341732,-1059.19341732,-699.68793403,-699.68793453,-699.70588032,-699.70588032,-698.59651127,-698.59651127,-897.60029855,-897.60029865,-897.62295692,-897.62295686,-896.83580957,-896.83580957,-14.93887004,-14.93887004,-14.4428058,-14.4428058,-2581.48560353,-2581.48560353,-2581.48641788,-2581.48641788,-2580.64031815,-2580.64031815,-467.65029866,-467.65029866,-467.64990303,-467.64990303,-466.74942818,-466.79748145,-107.25915417,-107.25915417,-107.25843311,-107.25855585,-106.14754072,-106.23131253,-305.1744539,-305.174453898639,-305.17699686,-305.17699686,-304.39577826,-304.43745679,-324.454875061781,-324.517508394808,-324.02867246,-324.028672456288,-2736.2896625,-2736.28966249,-2736.27888231,-2736.27888231,-2735.43327727,-2735.48077463,-622.45417188,-622.45417187,-622.4424932,-622.4424932,-621.54236249,-621.54236295,-262.06229381,-262.0622938,-262.05095684,-262.05095736,-260.94048519,-260.94048519,-459.97810963,-459.97810964,-459.96920494,-459.96920494,-459.18875708,-459.18875715
